STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_fo,Forestry indicators,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2018,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2019,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2020,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2015,,33.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2016,,33.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2017,,33.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2018,,33.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2019,,33.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2020,,33.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2021,,33.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LT,Lithuania,2022,,33.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2015,,34.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2016,,34.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2017,,34.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2018,,34.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2020,,35.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2021,,35.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LU,Luxembourg,2022,,35.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2015,,52.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2016,,52.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2017,,52.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2018,,52.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2019,,52.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2020,,52.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2021,,52.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LV,Latvia,2022,,52.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MK,North Macedonia,2018,,39.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MK,North Macedonia,2019,,39.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MK,North Macedonia,2020,,39.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MK,North Macedonia,2021,,39.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MK,North Macedonia,2022,,39.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2015,,1.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2016,,1.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2017,,1.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2018,,1.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2019,,1.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2020,,1.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2021,,1.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,MT,Malta,2022,,1.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2015,,9.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2016,,9.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2017,,9.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2018,,9.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2019,,9.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2020,,9.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2021,,9.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NL,Netherlands,2022,,9.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2015,,37.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2016,,37.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2017,,37.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2018,,37.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2019,,37.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2020,,37.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2021,,31.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,NO,Norway,2022,,31.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2015,,30.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2016,,30.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2017,,30.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2018,,30.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2019,,30.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2020,,30.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2021,,30.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PL,Poland,2022,,30.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2015,,35.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2016,,35.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2017,,35.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2018,,36,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2019,,36,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2020,,36.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2021,,36.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,PT,Portugal,2022,,36.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2015,,29.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2016,,29.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2017,,29.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2018,,29.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2019,,29.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2020,,29.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2021,,29.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,RO,Romania,2022,,29.3,,e,estimated,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2015,,62.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2016,,62.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2017,,62.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2018,,62.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2019,,62.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2020,,62.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2021,,62.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SE,Sweden,2022,,62.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2015,,58.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2016,,58.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2017,,58.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2018,,58.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2019,,58.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2020,,58.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2021,,58.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2022,,58.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SI,Slovenia,2023,,58.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2015,,39.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2016,,39.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2017,,39.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2018,,39.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2019,,39.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2020,,39.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2021,,39.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,SK,Slovakia,2022,,39.9,,,,,
